OrderID,CustomerID,TransactionDate,Age,Gender,Region,ProductCategory,Quantity,UnitPrice,TotalSales,Segment
25795,129,2026-01-01 00:00:00,65,Female,West,Clothing,4,409.72,1638.88,At-Risk Customers
10860,134,2026-01-01 01:00:00,54,Female,East,Beauty,3,302.68,908.04,Loyal High-Spenders
86820,104,2026-01-01 02:00:00,32,Female,West,Electronics,3,202.88,608.64,Casual Buyers
64886,182,2026-01-01 03:00:00,52,Male,North,Electronics,3,241.98,725.9399999999999,Loyal High-Spenders
16265,222,2026-01-01 04:00:00,45,Male,West,Home,5,428.73,2143.65,Casual Buyers
92386,177,2026-01-01 05:00:00,24,Male,South,Home,3,176.6,529.8,Loyal High-Spenders
47194,161,2026-01-01 06:00:00,49,Female,South,Home,5,436.13,2180.65,Casual Buyers
97498,231,2026-01-01 07:00:00,28,Female,North,Beauty,5,53.19,265.95,Loyal High-Spenders
54131,188,2026-01-01 08:00:00,27,Male,South,Electronics,4,390.63,1562.52,Casual Buyers
70263,141,2026-01-01 09:00:00,26,Non-binary,South,Electronics,1,425.3,425.3,Loyal High-Spenders
26023,188,2026-01-01 10:00:00,31,Male,East,Home,4,99.09,396.36,Casual Buyers
51090,245,2026-01-01 11:00:00,30,Male,West,Clothing,4,220.87,883.48,Casual Buyers
77221,139,2026-01-01 12:00:00,42,Male,North,Home,5,91.09,455.45000000000005,Casual Buyers
74820,171,2026-01-01 13:00:00,19,Female,North,Beauty,5,356.24,1781.2,Casual Buyers
10769,138,2026-01-01 14:00:00,52,Female,North,Home,3,272.32,816.96,Casual Buyers
69735,203,2026-01-01 15:00:00,24,Male,North,Home,3,321.31,963.9300000000001,Casual Buyers
72955,113,2026-01-01 16:00:00,38,Female,North,Beauty,4,106.28,425.12,Casual Buyers
74925,131,2026-01-01 17:00:00,35,Male,South,Home,2,113.76,227.52,Casual Buyers
77969,224,2026-01-01 18:00:00,20,Female,East,Electronics,2,30.33,60.66,Casual Buyers
15311,196,2026-01-01 19:00:00,59,Female,North,Clothing,3,167.81,503.43,Loyal High-Spenders
93104,122,2026-01-01 20:00:00,56,Female,East,Home,2,284.27,568.54,Loyal High-Spenders
63707,162,2026-01-01 21:00:00,58,Male,East,Beauty,3,430.39,1291.17,Casual Buyers
95305,242,2026-01-01 22:00:00,66,Non-binary,South,Clothing,5,336.79,1683.95,Casual Buyers
38693,244,2026-01-01 23:00:00,28,Female,North,Beauty,4,223.34,893.36,Casual Buyers
81932,152,2026-01-02 00:00:00,56,Male,South,Clothing,1,477.03,477.03,Loyal High-Spenders
35658,203,2026-01-02 01:00:00,41,Female,North,Clothing,4,362.43,1449.72,Casual Buyers
